ID	EntryID	Year	Etymology
891-1399-cseber	1399-cseber	1219	Slavic
892-1400-csecs	1400-csecs	1224	uncertain
899-1410-csekle	1410-csekle	1237	uncertain
900-1411-csel	1411-csel	1291	paronymy
902-1414-cselekedik	1414-cselekedik	1372	derived word
907-1420-csemege	1420-csemege	1211	derived word
908-1422-csemete	1422-csemete	1211	Italian
912-1427-csen	1427-csen	1138	unknown
921-1441-csephadaro	1441-csephadaro	1395	compound
926-1454-csere	1454-csere	1255	Russian
928-1459-csereny	1459-csereny	1338	derived word
930-1463-cseresznye	1463-cseresznye	1256	Slavic
932-1466-cserge	1466-cserge	1331	Wanderwort
933-1467-cserje	1467-cserje	1358	Croatian or Serbian
936-1476-cseter	1476-cseter	1211	Slavic
957-1519-csillag	1519-csillag	1373	Proto-Finno-Ugric
961-1524-csille	1524-csille	1285	loan
963-1526-csimasz	1526-csimasz	1198	loan
969-1533-csin	1533-csin	1181	Slavic
973-1542-csintalan	1542-csintalan	1273	derived word
975-1548-csiperke	1548-csiperke	1228	Slavic
979-1553-csipo	1553-csipo	1211	derived word
981-1556-csira	1556-csira	1400	uncertain
983-1561-csirke	1561-csirke	1322	onomatopoetic
988-1569-csiz	1569-csiz	1193	Slavic
992-1578-csoda	1578-csoda	1105	Slavic
997-1592-csont	1592-csont	1138	Proto-Finno-Ugric
999-1597-csorda	1597-csorda	1282	Slavic
1008-1620-csomor	1620-csomor	1135	uncertain
1012-1630-csucs	1630-csucs	1305	uncertain
1017-1639-csuka	1639-csuka	1152	Slavic
1022-1649-csunya	1649-csunya	1221	uncertain
1023-1650-csup	1650-csup	1392	uncertain
1025-1653-csupor	1653-csupor	1321	Proto-Finno-Ugric
1037-1679-csutortok	1679-csutortok	1206	Slavic
1046-1689-dajka	1689-dajka	1359	Slavic
1056-1701-dalm	1701-dalm	1138	unknown
1061-1711-darab	1711-darab	1270	Slavic
1062-1714-darazs	1714-darazs	1389	unknown
1065-1719-daru	1719-daru	1283	Proto-Finno-Ugric
1088-1751-del	1751-del	1237	Chuvash
1089-1752-delceg	1752-delceg	1377	unknown
1099-1764-dello	1764-dello	1344	derived word
1107-1775-denever	1775-denever	1395	unknown
1109-1783-derekalj	1783-derekalj	1400	compound
1122-1800-dever	1800-dever	1214	unknown
1152-1850-diribdarab	1850-diribdarab	1372	internal
1156-1854-disz	1854-disz	1372	unknown
1164-1867-dob	1867-dob	1211	Proto-Ugric
1165-1868-dob	1868-dob	1138	onomatopoetic
1171-1876-doh	1876-doh	1214	Slavic
1182-1896-dong	1896-dong	1194	onomatopoetic
1204-1930-dore	1930-dore	1064	loan
1206-1933-dorockol	1933-dorockol	1415	derived word
1211-1939-draga	1939-draga	1208	Slavic
