ID	EntryID	Year	Etymology
2-3-aba	3-aba	1556	Ottoman-Turkic
4-6-abajog	6-abajog	1838	derived word
5-8-abcug	8-abcug	1869	German
6-9-abdal	9-abdal	1585	Latin
7-13-abora	13-abora	1586	Ukranian
8-14-abrak	14-abrak	1494	Slavic
9-15-abrakadabra	15-abrakadabra	1788	international word
12-19-abroncs	19-abroncs	1467	Slavic
13-20-abrosz	20-abrosz	1372	Slavic
14-21-abszint	21-abszint	1870	international word
16-23-abszolutizmus	23-abszolutizmus	1833	Latin
18-25-absztrakt	25-absztrakt	1835	international word
20-27-acel	27-acel	1086	Slavic
21-28-achat	28-achat	1604	Wanderwort
22-30-acs	30-acs	1222	Turkic
23-31-acsa	31-acsa		
26-35-acsorog	35-acsorog	1652	derived word
27-36-ad	36-ad	1086	Proto-Finno-Ugric
28-37-adamcsutka	37-adamcsutka	1845	compound
30-40-adjunktus	40-adjunktus	1699	Latin
32-42-adjutans	42-adjutans	1651	international word
33-44-admiralis	44-admiralis	1655	international word
34-45-ado	45-ado	1359	derived word
35-46-adoma	46-adoma	1851	internal
36-47-adoptal	47-adoptal	1785	Latin
38-49-adu	49-adu	1799	loan
39-50-advent	50-advent	1470	Latin
41-55-afrik	55-afrik	1893	German
42-57-aga	57-aga	1544	Ottoman-Turkic
43-61-agaskodik	61-agaskodik	1566	derived word
45-64-agens	64-agens	1616	Latin
48-73-agronomus	73-agronomus	1865	international word
49-76-agyabugyal	76-agyabugyal	1669	internal
50-77-agyafurt	77-agyafurt	1538	compound
51-78-agyag	78-agyag	1205	unknown
52-79-agyar	79-agyar	1456	Proto-Finno-Ugric
53-80-agyek	80-agyek	1490	derived word
54-81-agynemu	81-agynemu	1748	compound
55-82-agyon	82-agyon	1551	lexicalized inflected word-form
56-83-agyu	83-agyu	1456	uncertain
57-84-ahit	84-ahit	1416	onomatopoetic
59-86-ajak	86-ajak	1228	derived word
60-87-ajandek	87-ajandek	1137	derived word
61-89-ajer	89-ajer	1565	Latin
62-91-ajtatos	91-ajtatos	1372	derived word
63-93-ajtofel	93-ajtofel	1512	compound
90-135-akceptal	135-akceptal	1570	Latin
91-137-akkord	137-akkord	1626	Wanderwort
92-138-akkord	138-akkord	1802	international word
95-141-akkuratus	141-akkuratus	1758	Latin
96-146-akovita	146-akovita	1620	Wanderwort
97-147-akrobata	147-akrobata	1840	international word
98-148-akt	148-akt	1893	German
99-150-akta	150-akta	1613	Latin
102-154-aktus	154-aktus	1618	Latin
103-157-akvarium	157-akvarium	1877	international word
106-161-alabard	161-alabard	1550	Wanderwort
107-164-alafa	164-alafa	1535	Ottoman-Turkic
109-167-alamizsna	167-alamizsna	1372	Slavic
111-170-alany	170-alany	1790	Latin
112-171-alap	171-alap	1774	internal
114-173-alarmiroz	173-alarmiroz	1848	Wanderwort
115-174-alaszolgaja	174-alaszolgaja	1793	blending
117-176-alattsag	176-alattsag	1395	Croatian or Serbian
118-177-alattvalo	177-alattvalo	1604	compound
119-178-alavalo	178-alavalo	1416	compound
120-180-alban	180-alban	1559	Latin
121-182-alca	182-alca	1853	blending
122-183-ald	183-ald	1193	Proto-Finno-Ugric
123-185-aldoz	185-aldoz	1372	derived word
125-187-alfa	187-alfa	1519	Latin
126-188-alga	188-alga	1858	Latin
127-189-algebra	189-algebra	1708	international word
128-190-alibi	190-alibi	1843	international word
129-191-alig	191-alig	1372	lexicalized inflected word-form
130-192-alit	192-alit	1372	derived word
131-194-alkat	194-alkat	1800	internal
135-199-alkov	199-alkov	1763	international word
137-204-allag	204-allag	1837	Latin
138-205-allam	205-allam	1836	Latin
139-206-allando	206-allando	1519	derived word
141-208-allapotos	208-allapotos	1931	derived word
142-209-allaspont	209-allaspont	1813	German
143-211-alle	211-alle	1752	international word
144-212-alleluja	212-alleluja	1416	Latin
145-213-allitmany	213-allitmany	1792	internal
146-214-allitolag	214-allitolag	1803	internal
147-215-allkapca	215-allkapca	1550	compound
148-216-allkapocs	216-allkapocs	1809	compound
149-217-allomas	217-allomas	1829	Latin
150-218-allur	218-allur	1879	German
151-219-alma	219-alma	1009	Turkic
152-220-almanach	220-almanach	1613	Wanderwort
153-221-almarium	221-almarium	1517	Latin
155-223-alnok	223-alnok	1247	derived word
156-224-alo	224-alo	1749	loan
157-225-aloe	225-aloe	1416	Latin
158-227-alom	227-alom	1091	Proto-Finno-Ugric
159-228-alomars	228-alomars	1774	loan
160-229-alomszuszek	229-alomszuszek	1723	compound
162-231-alpari	231-alpari	1790	derived word
164-234-alt	234-alt	1802	German
166-237-aluminium	237-aluminium	1879	international word
168-239-amator	239-amator	1833	German
169-240-amazon	240-amazon	1559	Latin
172-243-ambitus	243-ambitus	1510	Latin
173-244-ambra	244-ambra	1577	Wanderwort
174-245-ambrozia	245-ambrozia	1653	Latin
175-247-ametiszt	247-ametiszt	1516	Wanderwort
176-248-amnesztia	248-amnesztia	1611	Latin
177-249-amokfuto	249-amokfuto	1925	German
178-250-amolyog	250-amolyog	1767	onomatopoetic
181-255-amulett	255-amulett	1690	Latin
183-257-ananasz	257-ananasz	1757	international word
185-260-andung	260-andung	1823	German
