ID	EntryID	Year	Etymology
510-753-bizony	753-bizony	1057	
511-754-bizton	754-bizton	1535	
514-757-bizserel	757-bizserel	1787	
515-759-blamiroz	759-blamiroz	1844	
522-772-bocer	772-bocer	1405	
524-774-bocs	774-bocs	1237	Slavic
525-776-bocsanat	776-bocsanat	1372	
526-777-bocsar	777-bocsar	1002	Slavic
542-809-bojtorkodik	809-bojtorkodik	1628	
545-812-boklal	812-boklal	1831	
548-820-boksz	820-boksz	1780	
553-827-bolha	827-bolha	1200	Slavic
554-828-bologat	828-bologat	1783	
555-829-bolond	829-bolond	1200	Slavic
556-831-bolsevik	831-bolsevik	1907	
567-849-bont	849-bont	1337	
574-862-borissza	862-borissza	1434	
575-863-borit	863-borit	1456	
576-864-borul	864-borul	1512	
579-868-borona	868-borona	1406	Slavic
580-869-borona	869-borona	1481	Slavic
581-871-borostyan	871-borostyan	1282	Slavic
583-874-borotva	874-borotva	1332	Slavic
587-881-borzad	881-borzad	1516	
588-882-borzalom	882-borzalom	1814	
589-884-boszorkany	884-boszorkany	1552	
590-885-bosszant	885-bosszant	1416	
592-889-botanikus	889-botanikus	1664	
593-891-botlik	891-botlik	1508	
595-894-botrankozik	894-botrankozik	1835	
598-898-bozontos	898-bozontos	1779	
601-902-bofog	902-bofog	1577	
610-917-bongeszik	917-bongeszik	1759	
611-919-borberi	919-borberi	1922	
624-939-brigaderos	939-brigaderos	1705	
637-957-brutalis	957-brutalis	1790	
645-968-buda	968-buda	1642	
648-980-bugyog	980-bugyog	1565	
649-981-bugyolal	981-bugyolal	1791	
665-1012-burjan	1012-burjan	1343	
669-1019-burzsoa	1019-burzsoa	1835	
678-1032-buvar	1032-buvar	1533	
681-1036-buzerans	1036-buzerans		
689-1049-burokrata	1049-burokrata	1826	
692-1056-buvos	1056-buvos	1138	
694-1058-be	1058-be	1372	
695-1059-be	1059-be	1610	
696-1060-bebi	1060-bebi	1816	
697-1062-beco	1062-beco	1247	
698-1064-becs	1064-becs	1364	
699-1065-becsiccsent	1065-becsiccsent	1888	
700-1067-befolyas	1067-befolyas	1755	
701-1069-beg	1069-beg	1292	
702-1070-beg	1070-beg	1476	
703-1071-beglerbeg	1071-beglerbeg	1542	
704-1072-begy	1072-begy	1318	
705-1075-beka	1075-beka	1295	
706-1077-bekecs	1077-bekecs	1774	
707-1079-bekrepal	1079-bekrepal	1935	
708-1080-bel	1080-bel	1055	
709-1081-bele	1081-bele	1416	
710-1082-beleg	1082-beleg	1957	
711-1083-beleget	1083-beleget	1585	
712-1088-belga	1088-belga	1602	
713-1089-abbeli	1089-abbeli	1520	
714-1090-belice	1090-belice	1570	
715-1092-belso	1092-belso	1225	
716-1093-belul	1093-belul	1372	
717-1096-bences	1096-bences	1852	
718-1098-benne	1098-benne	1372	
719-1099-benneteket	1099-benneteket	1573	
720-1100-bennfentes	1100-bennfentes	1873	
721-1101-benzin	1101-benzin	1868	
722-1102-ber	1102-ber	1121	
723-1106-berbitel	1106-berbitel	1544	
724-1107-berc	1107-berc	1135	
725-1110-berek	1110-berek	1193	
726-1111-beretra	1111-beretra	1518	
727-1112-bergam	1112-bergam	1503	
728-1113-berhe	1113-berhe	1358	
729-1114-berill	1114-berill	1395	
730-1116-berkenye	1116-berkenye	1055	
731-1117-bermal	1117-bermal	1519	
732-1118-berreg	1118-berreg	1787	
733-1119-berveng	1119-berveng	1470	
734-1120-berzenkedik	1120-berzenkedik	1566	
735-1121-bese	1121-bese	1138	
736-1123-beslia	1123-beslia	1552	
737-1124-beste	1124-beste	1490	
738-1127-beszed	1127-beszed	1138	
739-1128-beszerika	1128-beszerika	1645	
740-1129-beteg	1129-beteg	1372	
741-1131-beton	1131-beton	1865	
750-1151-cappolodik	1151-cappolodik	1615	
757-1169-cekla	1169-cekla	1322	Slavic
763-1179-cementiroz	1179-cementiroz	1818	
764-1180-celofan	1180-celofan	1928	
765-1181-cemende	1181-cemende	1751	
766-1182-cement	1182-cement	1550	
767-1184-cementiroz	1184-cementiroz	1818	
771-1188-centralis	1188-centralis	1757	
772-1192-cenzura	1192-cenzura	1586	
785-1213-cicomaz	1213-cicomaz	1628	
789-1224-cihog	1224-cihog	1528	
790-1225-cihodik	1225-cihodik	1560	
791-1226-cihelodik	1226-cihelodik	1650	
792-1227-cika	1227-cika	1577	
799-1244-cimer	1244-cimer	1544	
801-1248-cinadonia	1248-cinadonia	1533	
809-1263-cipekedik	1263-cipekedik	1792	
810-1264-cipellos	1264-cipellos	1380	
811-1266-cipo	1266-cipo	1577	
821-1279-cirmol	1279-cirmol	1698	
822-1281-cirokal	1281-cirokal	1702	
823-1282-ciszterci	1282-ciszterci	1760	
827-1289-civakodik	1289-civakodik	1662	
829-1291-civilizal	1291-civilizal	1771	
833-1297-cokol	1297-cokol	1538	
843-1313-cugehor	1313-cugehor	1942	
845-1315-cukor	1315-cukor	1546	
850-1322-cvikipuszi	1322-cvikipuszi	1870	
855-1328-csabit	1328-csabit	1540	
857-1334-csahol	1334-csahol	1570	
858-1335-csahog	1335-csahog	1767	
859-1338-csaja	1338-csaja	1825	
862-1348-csalad	1348-csalad	1113	Slavic
880-1376-csappant	1376-csappant	1583	
884-1383-csaszar	1383-csaszar	1233	Slavic
885-1388-csatangol	1388-csatangol	1772	
887-1393-csattan	1393-csattan	1456	
889-1396-csavar	1396-csavar	1456	
891-1399-cseber	1399-cseber	1219	Slavic
893-1401-csecs	1401-csecs	1217	
894-1402-csecs	1402-csecs	1598	
896-1407-cseh	1407-cseh	1075	
901-1412-cselcsap	1412-cselcsap	1548	
903-1416-csello	1416-csello	1844	
904-1417-cselo	1417-cselo	1730	
910-1425-csempesz	1425-csempesz	1221	
911-1426-csempeszet	1426-csempeszet	1793	
916-1433-csenevesz	1433-csenevesz	1138	
917-1434-cseng	1434-cseng	1295	
922-1444-csepp	1444-csepp	1257	
923-1445-cseppen	1445-cseppen	1405	
927-1456-cserebuly	1456-cserebuly	1395	
930-1463-cseresznye	1463-cseresznye	1256	Slavic
931-1464-cseret	1464-cseret		
936-1476-cseter	1476-cseter	1211	Slavic
937-1478-csetten	1478-csetten	1635	
938-1483-csi	1483-csi	1585	
939-1484-csigat	1484-csigat	1636	
940-1485-csiakol	1485-csiakol	1531	
943-1493-csicseg	1493-csicseg	1560	
944-1494-csicserborso	1494-csicserborso	1395	
945-1496-csicsoka	1496-csicsoka	1773	
946-1502-csihad	1502-csihad	1825	
952-1512-csiklik	1512-csiklik	1211	
953-1513-csikland	1513-csikland	1577	
955-1516-csikorog	1516-csikorog	1416	
957-1519-csillag	1519-csillag	1373	Proto-Finno-Ugric
958-1520-csillamlik	1520-csillamlik	1585	
959-1521-csillamik	1521-csillamik	1585	
960-1522-csillapit	1522-csillapit	1608	
962-1525-csillog	1525-csillog	1513	
964-1527-csimbalkodik	1527-csimbalkodik	1647	
965-1528-csimpaszkodik	1528-csimpaszkodik	1708	
969-1533-csin	1533-csin	1181	Slavic
975-1548-csiperke	1548-csiperke	1228	Slavic
986-1566-csitit	1566-csitit	1572	
987-1568-csivikel	1568-csivikel	1802	
988-1569-csiz	1569-csiz	1193	Slavic
992-1578-csoda	1578-csoda	1105	Slavic
993-1580-csokol	1580-csokol	1372	
995-1585-csombolyek	1585-csombolyek	1784	
996-1591-csonka	1591-csonka	1208	
997-1592-csont	1592-csont	1138	Proto-Finno-Ugric
999-1597-csorda	1597-csorda	1282	Slavic
1001-1603-csoszog	1603-csoszog	1529	
1005-1614-csodul	1614-csodul	1629	
1006-1617-csok	1617-csok	1198	
1011-1629-csotonoz	1629-csotonoz	1783	
1013-1631-csucsorka	1631-csucsorka	1787	
1014-1632-csucsorodik	1632-csucsorodik	1767	
1017-1639-csuka	1639-csuka	1152	Slavic
1018-1640-csukik	1640-csukik	1578	
1020-1645-csukorek	1645-csukorek	1863	
1021-1646-csukorit	1646-csukorit	1893	
1025-1653-csupor	1653-csupor	1321	Proto-Finno-Ugric
1026-1654-csuporit	1654-csuporit	1796	
1027-1655-csuporodik	1655-csuporodik	1832	
1030-1666-csucs	1666-csucs	1672	
1031-1667-csucsorit	1667-csucsorit	1806	
1037-1679-csutortok	1679-csutortok	1206	Slavic
1038-1680-derit	1680-derit	1585	
1039-1681-dac	1681-dac	1363	
1043-1685-dagad	1685-dagad	1416	
1044-1687-daganas	1687-daganas	1348	
1046-1689-dajka	1689-dajka	1359	Slavic
1053-1697-dal	1697-dal	1211	
1061-1711-darab	1711-darab	1270	Slavic
1065-1719-daru	1719-daru	1283	Proto-Finno-Ugric
1068-1724-datum	1724-datum	1529	
1069-1725-dauerol	1725-dauerol	1934	
1071-1728-de	1728-de	1560	
1073-1731-isdeci	1731-isdeci	1876	
1075-1733-dedelget	1733-dedelget	1591	
1076-1735-dedo	1735-dedo	1845	
1077-1736-defektus	1736-defektus	1556	
1079-1738-definial	1738-definial	1588	
1085-1748-deklaral	1748-deklaral	1573	
1086-1749-dekoral	1749-dekoral	1606	
1090-1753-delegatus	1753-delegatus	1671	
1096-1759-delikat	1759-delikat	1753	
1102-1769-demokracia	1769-demokracia	1612	
1104-1771-demonstracio	1771-demonstracio	1577	
1111-1786-derit	1786-derit	1585	
1112-1787-dermed	1787-dermed	1577	
1115-1791-despota	1791-despota	1594	
1116-1792-destrual	1792-destrual	1588	
1117-1793-deszka	1793-deszka	1469	Slavic
1121-1797-detto	1797-detto	1600	
1125-1805-dezertal	1805-dezertal	1748	
1126-1811-diakonus	1811-diakonus	1416	
1128-1814-dialektus	1814-dialektus	1749	
1130-1816-diarium	1816-diarium	1663	
1139-1830-diktal	1830-diktal	1575	
1140-1831-diktator	1831-diktator	1559	
1142-1833-dilettans	1833-dilettans	1789	
1143-1835-dinamika	1835-dinamika	1835	
1146-1838-dinasztia	1838-dinasztia	1792	
1150-1846-diplomacia	1846-diplomacia	1791	
1151-1847-direkte	1847-direkte	1563	
1153-1851-dirigal	1851-dirigal	1559	
1154-1852-diskurzus	1852-diskurzus	1584	
1155-1853-disputal	1853-disputal	1517	
1163-1865-divat	1865-divat	1611	
1167-1870-dobog	1870-dobog	1430	
1170-1874-dogma	1874-dogma	1573	
1171-1876-doh	1876-doh	1214	Slavic
1175-1880-doktor	1880-doktor	1372	
1176-1881-dokumentum	1881-dokumentum	1597	
1178-1888-domboru	1888-domboru	1193	
1180-1890-dominal	1890-dominal	1584	
1186-1903-dorni	1903-dorni	1279	
1188-1905-doromblya	1905-doromblya	1468	Slavic
1190-1910-dosztig	1910-dosztig	1669	
1193-1916-dobor	1916-dobor	1138	
1194-1917-docog	1917-docog	1577	
1199-1924-dol	1924-dol	1432	
1200-1925-dolyfos	1925-dolyfos	1520	
1203-1928-dongol	1928-dongol	1244	
1205-1932-dormol	1932-dormol	1669	
1207-1934-dorog	1934-dorog	1257	
1208-1935-dordit	1935-dordit	1565	
1209-1936-doromboz	1936-doromboz	1572	
1210-1937-dorzsol	1937-dorzsol	1562	
1211-1939-draga	1939-draga	1208	Slavic
1214-1942-dragonyos	1942-dragonyos	1583	
1216-1944-drama	1944-drama	1789	
1221-1951-dressziroz	1951-dressziroz	1796	
1222-1952-dribliz	1952-dribliz	1899	
1223-1953-drogeria	1953-drogeria	1854	
1225-1956-drukkol	1956-drukkol	1877	
1226-1959-duc	1959-duc	1708	
1228-1962-dudol	1962-dudol	1565	
1229-1963-dudorog	1963-dudorog	1706	
1230-1965-duellum	1965-duellum	1612	
1231-1966-duett	1966-duett	1799	
1233-1971-dukat	1971-dukat	1429	
1237-1975-dumal	1975-dumal	1888	
1241-1985-durcas	1985-durcas	1633	
1247-1995-duttyan	1995-duttyan	1646	
1249-1998-duz	1998-duz	1647	
1250-1999-duzzad	1999-duzzad	1508	
1251-2000-dubog	2000-dubog	1731	
1253-2004-dulled	2004-dulled	1566	
1258-2014-emlekezik	2014-emlekezik	1372	
1262-2018-ebed	2018-ebed	1372	Slavic
1264-2022-ebhal	2022-ebhal	1568	
1265-2024-ebren	2024-ebren	1372	
1267-2026-ecet	2026-ecet	1416	Slavic
1270-2029-ecset	2029-ecset	1480	Slavic
1272-2032-eden	2032-eden	1551	
1275-2037-eg	2037-eg	1211	Proto-Finno-Ugric
1276-2038-eg	2038-eg	1493	Proto-Finno-Ugric
1283-2047-egoizmus	2047-egoizmus	1791	
1287-2051-egzaminal	2051-egzaminal	1527	
1289-2053-egzisztencia	2053-egzisztencia	1791	
1290-2054-egzotikum	2054-egzotikum	1790	
1295-2060-egyembegyem	2060-egyembegyem	1837	
1297-2062-egyembelu	2062-egyembelu		
1299-2065-egyenes	2065-egyenes	1372	
1300-2066-egyenlo	2066-egyenlo	1319	
1304-2071-egyez	2071-egyez	1785	
1313-2080-egyutt	2080-egyutt	1495	
1314-2081-egyunnen	2081-egyunnen	1508	
1317-2087-ehkoppal	2087-ehkoppal	1719	
1318-2088-ehomra	2088-ehomra	1516	
1319-2090-ejjel	2090-ejjel	1364	
1323-2095-ejtozik	2095-ejtozik	1833	
1324-2096-ek	2096-ek	1213	
1327-2100-ekes	2100-ekes	1213	
1333-2108-elc	2108-elc	1847	
