ID	EntryID	Year	Etymology
2-3-aba	3-aba	1556	Ottoman-Turkic
6-9-abdal	9-abdal	1585	Latin
7-13-abora	13-abora	1586	Ukranian
8-14-abrak	14-abrak	1494	Slavic
12-19-abroncs	19-abroncs	1467	Slavic
13-20-abrosz	20-abrosz	1372	Slavic
20-27-acel	27-acel	1086	Slavic
22-30-acs	30-acs	1222	Turkic
27-36-ad	36-ad	1086	Proto-Finno-Ugric
34-45-ado	45-ado	1359	derived word
39-50-advent	50-advent	1470	Latin
42-57-aga	57-aga	1544	Ottoman-Turkic
43-61-agaskodik	61-agaskodik	1566	derived word
50-77-agyafurt	77-agyafurt	1538	compound
51-78-agyag	78-agyag	1205	unknown
52-79-agyar	79-agyar	1456	Proto-Finno-Ugric
53-80-agyek	80-agyek	1490	derived word
55-82-agyon	82-agyon	1551	lexicalized inflected word-form
56-83-agyu	83-agyu	1456	uncertain
57-84-ahit	84-ahit	1416	onomatopoetic
59-86-ajak	86-ajak	1228	derived word
60-87-ajandek	87-ajandek	1137	derived word
61-89-ajer	89-ajer	1565	Latin
62-91-ajtatos	91-ajtatos	1372	derived word
63-93-ajtofel	93-ajtofel	1512	compound
90-135-akceptal	135-akceptal	1570	Latin
106-161-alabard	161-alabard	1550	Wanderwort
107-164-alafa	164-alafa	1535	Ottoman-Turkic
109-167-alamizsna	167-alamizsna	1372	Slavic
117-176-alattsag	176-alattsag	1395	Croatian or Serbian
119-178-alavalo	178-alavalo	1416	compound
120-180-alban	180-alban	1559	Latin
122-183-ald	183-ald	1193	Proto-Finno-Ugric
123-185-aldoz	185-aldoz	1372	derived word
125-187-alfa	187-alfa	1519	Latin
129-191-alig	191-alig	1372	lexicalized inflected word-form
130-192-alit	192-alit	1372	derived word
139-206-allando	206-allando	1519	derived word
144-212-alleluja	212-alleluja	1416	Latin
147-215-allkapca	215-allkapca	1550	compound
151-219-alma	219-alma	1009	Turkic
153-221-almarium	221-almarium	1517	Latin
155-223-alnok	223-alnok	1247	derived word
157-225-aloe	225-aloe	1416	Latin
158-227-alom	227-alom	1091	Proto-Finno-Ugric
169-240-amazon	240-amazon	1559	Latin
172-243-ambitus	243-ambitus	1510	Latin
173-244-ambra	244-ambra	1577	Wanderwort
175-247-ametiszt	247-ametiszt	1516	Wanderwort
189-266-angolna	266-angolna	1525	Latin
190-267-angy	267-angy	1380	Proto-Uralic
191-271-anizs	271-anizs	1378	Wanderwort
195-275-antal	275-antal	1552	derived word
200-282-anya	282-anya	1181	Proto-Uralic
205-287-anyaszentegyhaz	287-anyaszentegyhaz	1470	compound
206-288-annyi	288-annyi	1372	derived word
208-290-apa	290-apa	1055	Proto-Finno-Ugric
209-291-apaca	291-apaca	1256	uncertain
214-296-apat	296-apat	1180	uncertain
217-299-apetitus	299-apetitus	1593	Latin
218-301-aporodik	301-aporodik	1588	uncertain
220-303-apostol	303-apostol	1217	Latin
222-306-aprilis	306-aprilis	1416	Latin
225-312-ar	312-ar	1395	Proto-Finno-Ugric
227-314-ara	314-ara	1479	derived word
228-315-arab	315-arab	1571	Latin
232-321-arasz	321-arasz	1405	Proto-Finno-Ugric
240-334-arguval	334-arguval	1527	Latin
244-342-arkus	342-arkus	1512	Latin
248-350-arnyekszek	350-arnyekszek	1508	compound
249-351-arok	351-arok	1055	Turkic
250-352-aroma	352-aroma	1416	Latin
251-353-arpa	353-arpa	1086	Turkic
253-355-art	355-art	1512	paronymy
254-356-artany	356-artany	1075	uncertain
259-366-arviz	366-arviz	1395	compound
261-369-asit	369-asit	1372	onomatopoetic
265-375-aspis	375-aspis	1372	Latin
267-378-aszat	378-aszat	1597	Slavic
268-380-aszik	380-aszik	1275	Proto-Ugric
273-391-asztal	391-asztal	1293	Slavic
276-398-atall	398-atall	1416	derived word
280-404-atlasz	404-atlasz	1380	Wanderwort
284-413-atval	413-atval	1395	compound
285-414-atya	414-atya	1181	Proto-Uralic
286-416-augusztus	416-augusztus	1416	Latin
294-425-avagy	425-avagy	1372	compound
295-426-avar	426-avar	1485	Proto-Finno-Ugric
296-428-avas	428-avas	1232	semantic change
297-429-avas	429-avas	1580	derived word
301-436-azaz	436-azaz	1372	compound
303-439-azonban	439-azonban	1416	lexicalized inflected word-form
304-440-azonnal	440-azonnal	1474	lexicalized inflected word-form
311-454-baba	454-baba	1111	Slavic
313-458-babona	458-babona	1533	Slovakian
315-460-babug	460-babug	1585	derived word
319-464-bacs	464-bacs	1462	Romanian
325-475-bagoly	475-bagoly	1211	unknown
328-478-bagyaszt	478-bagyaszt	1508	onomatopoetic
330-482-bajor	482-bajor	1213	loan
331-483-bajor	483-bajor	1585	uncertain
335-490-bakacsin	490-bakacsin	1387	loan
336-492-bakancs	492-bakancs	1519	derived word
339-498-bako	498-bako	1229	unknown
343-504-bal	504-bal	1086	uncertain
345-506-bala	506-bala	1355	loan
351-517-balkany	517-balkany	1498	Turkic
356-524-balna	524-balna	1538	Latin
357-528-balzsam	528-balzsam	1265	Wanderwort
358-529-bamba	529-bamba	1400	derived word
360-531-ban	531-ban	1372	uncertain
361-532-ban	532-ban	1138	Croatian or Serbian
363-539-banik	539-banik	1470	paronymy
364-540-bank	540-bank	1541	Wanderwort
369-545-bant	545-bant	1138	derived word
371-547-banya	547-banya	1217	Slavic
372-548-banya	548-banya	1577	Croatian or Serbian
374-551-bar	551-bar	1531	blending
380-561-baratina	561-baratina	1583	Slavic
381-563-barazda	563-barazda	1086	Slavic
382-564-barazdabillegeto	564-barazdabillegeto	1585	compound
391-581-barlang	581-barlang	1233	Slavic
392-582-barna	582-barna	1255	loan
393-583-baro	583-baro	1291	loan
395-585-barom	585-barom	1247	Turkic
