ID	Entry_ID	Segments	Meaning	reconstructed
131	1121-bese	b ɛ ʃ ɛ	Art, Raubvogel, Milan, Krähe	^(b)(ɛ|i|y|ø|a)(ʃ|t͡ʃ)(ɛ|ɛ.ɣ)(i|y|ɛ|u)?$
132	1122-besenyo	b ɛ ʃ ɛ ɲ øː		^(b)(ɛ|i|y|ø|a)(ʃ|t͡ʃ)(ɛ|i)(n|m)(ɛ.ɣ|i.ɣ|yː)$
133	1127-beszed	b ɛ s eː d	Rede, Wort, Märchen	^(b)(ɛ|i|y|ø|a)(s)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(n)(i)?$
135	1265-cipo	t͡s i p oː	Brotlaib, Gemisch, Buckel, Brotes	^(t͡ʃ|s)(i|a|y|ɛ|ɯ)(p)(a.ɣ|u.ɣ|a.ɣ.u|i.ɣ|o.ɣ|uɣ|ɯ.ɣ|u.j|a.w|a|u)$
137	1347-csal	t͡ʃ ɒ l	trügen, betrügen, locken, scheinheilig, Köder	^(t͡ʃ)(a|ɒ|o|a.ɣ)?(l|j)?(i|y|ɛ|u|i.ɣ|a.t)?$
138	1348-csalad	t͡ʃ ɒ l aː d	fremder, Gefangener, Mitglied, Diener, Familie, Familie, Zool, Bot, Kind, Mitglied, Familie, Hereinnahme, As, König, Ober, Trumpffarbe	^(t͡ʃ)(a|ɒ|o|a.ɣ)?(l|r.l|l.k)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(n)$
139	1351-csalan	t͡ʃ ɒ l aː n	Brennessel	^(t͡ʃ)(a|ɒ|o|a.ɣ)?(l|r.l|l.k)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(n)$
140	1361-csanak	t͡ʃ ɒ n ɒ k	Becher, hölzernes, od, Gefäß	^(t͡ʃ)(a|ɒ|o|a.ɣ)?(n)(a|ɒ|o|a.ɣ)?(k|ɡ)(i)?$
141	1365-csap	t͡ʃ ɒ p	schlagen, hauen, streichen, Maß, zupfen, Wolle, reißen, schleudern, dringen, Richtung, einschlagen, etw, schmeicheln, treiben, lassen, veranstalten, Festmahl, Unterhaltung, Lärm, schlagen, klauen, stibitzen, Dolch, Schlag, Unglück, Spur, gedrückt, voll, Maß, herumschlagen, neckisch	^(t͡ʃ)(a|ɒ|o|a.ɣ)?(p)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
143	1371-csapinos	t͡ʃ ɒ p i n oː ʃ	schief, schräg	^(t͡ʃ)(a)(p)(i|a|y)(n)(a|u|uː|a.u|i|a.w|i.ɣ|a.w.u|aː)(t͡ʃ|ɣ|ʃ|l.t͡ʃ)$
144	1385-csat	t͡ʃ ɒ t	Spange, Haken, Schlinge, Stift, Dorn	^(t͡ʃ)(a|ɒ|o|a.ɣ)?(t)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
145	1395-csava	t͡ʃ aː v ɒ	Beize, Gefäß, Lauge, od, Benennung, versch, od, alkalischer, Flüssigkeiten	^(t͡ʃ)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(v|w)(a|a.ɣ|a.w|ɒ)?(i)?$
146	1399-cseber	t͡ʃ ɛ b ɛ r	altes, größerer, Zuber	^(t͡ʃ)(ɛ|i|y|ø|a)(b)(ɛ|i|y|ø|a)(r)(i|y|ɛ)?$
147	1401-csecs	t͡ʃ eː t͡ʃ	Masern, Blattern, Ausschlag	^(t͡ʃ)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(t͡ʃ|l.t͡ʃ)(i|y|ɛ|u)?$
149	1420-csemege	t͡ʃ ɛ m ɛ ɡ ɛ	Met, Art, Getränk, Leckerbissen, Kind, Verzehren, Leckerbissen, Frucht, Ohrenschmaus, abgelesene, Traube, Most, Leckerbissen, essen, etw	^(t͡ʃ)(ɛ|i|y|ø|a)(m)(ɛ|i|y|ø|a)(ɡ)(ɛ|ɛ.ɣ)(i)?$
150	1422-csemete	t͡ʃ ɛ m ɛ t ɛ	Sprößling, Lode, Kind	^(t͡ʃ)(ɛ|i|y|ø|a)(m)(ɛ|i|y|ø|a)(t|l.t)(ɛ|ɛ.ɣ)$
152	1427-csen	t͡ʃ ɛ n	stehlen, stibitzen, schmuggeln	^(t͡ʃ)(ɛ|i|y|ø|a)(n)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
153	1430-csender	t͡ʃ ɛ n.d ɛ r	Gesträuch	^(t͡ʃ)(ɛ|i|y|ø|a)(n.d|n)(ɛ|i|y|ø|a)(r)(i)?$
154	1433-csenevesz	t͡ʃ ɛ n ɛ v eː s	verkümmert, unentwickelt	^(t͡ʃ)(ɛ|i)(n)(ɛ)(v|w)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(s|ʃ|z)$
156	1438-csep	t͡ʃ eː p	Dreschflegel, Webstuhl	^(t͡ʃ)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(p)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk)?$
157	1442-cseplye	t͡ʃ ɛ p.j ɛ	Gestrüpp, Art, Gras	^(t͡ʃ)(ɛ|i|y|ø|a)(p.ɣ)(ɛ|ɛ.ɣ)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a)?$
158	1448-csepu	t͡ʃ ɛ p yː	Werg, tadeln	^(t͡ʃ)(ɛ|i|y|ø|a)(p)(i.ɣ|y.ɣ|ɛ.ɣ|ɛ.ɣ.y|y)(i|y|ɛ)?$
159	1450-cser	t͡ʃ ɛ r	Wald, Gebüsch, Eiche, Strauch, Erle	^(t͡ʃ)(ɛ|i|y|ø|a)(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
160	1464-cseret	t͡ʃ ɛ r ɛ t	Röhricht	^(t͡ʃ)(ɛ|i|y|ø|a)(r|j.r|w.r)(ɛ|i|y|ø|a)(t)(i)?$
161	1473-csesz	t͡ʃ ɛ s	kratzen, streifen, leicht, berühren, stehlen, schneiden	^(t͡ʃ)(ɛ|i|y|ø|a)(s|ʃ|z)(i|y|ɛ|u|i.ɣ|a.t)?$
162	1476-cseter	t͡ʃ ɛ t ɛ r	Pokal, altes, Viertel, Scheitholz, Schlag, Ackerfläche, Durchmesser, runden, Gegenstandes	^(t͡ʃ)(ɛ|i|y|ø|a)(t|l.t)(ɛ|i|y|ø|a)(r)(i)?$
163	1499-csiger	t͡ʃ i ɡ ɛ r	minderwertiger, Obstwein	^(t͡ʃ)(i|a|y|ɛ|ɯ)(ɡ)(ɛ|i|y|ø|a)(r)(i|y|ɛ)?$
164	1500-csigolya	t͡ʃ i ɡ o j ɒ		^(t͡ʃ)(i|a|y)(ɡ)(u|o)(l|j|j.a|ɣ)(a|a.ɣ|a.w|ɒ)?$
165	1506-csik	t͡ʃ iː k	Aal, Nudel, Geschwulst, Blutegel	^(t͡ʃ)(i|iː)(k|ɡ)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
167	1515-csiko	t͡ʃ i k oː	Fohlen, Goldmünze, Spickzettel, versch, Werkzeuge, Spieler, bzw, Figuren, versch, Gesellschaftsspiele, fohlen	^(t͡ʃ)(i|a|y|ɛ|ɯ)(k)(a.ɣ|u.ɣ|a.ɣ.u|i.ɣ|o.ɣ|uɣ|ɯ.ɣ|u.j|a.w|a|u)(i)?$
168	1526-csimasz	t͡ʃ i m ɒ s	Mücke, Wanze, Art, glänzender, Käfer, Engerling, Ungeziefer	^(t͡ʃ)(i|a|y|ɛ|ɯ)(m)(a|ɒ|o|a.ɣ)?(s|ʃ|z)(i)?$
169	1533-csin	t͡ʃ iː n	Ordnung, Art, Ruhe, Stille, Kniff, Nettigkeit, geschmackvolles	^(t͡ʃ)(i|iː)(n)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
170	1545-csip	t͡ʃ iː p	stechen, Bienen, Mücken, usw, zwicken, Fingern, Gegenstand, sticheln, brennen, Zunge, abbrechen, wegnehmen, klauen, festnehmen, angenehm, anziehend, halten, zwicken, Kloster, klemmen, trans, rupfen, zupfen, häkeln	^(t͡ʃ)(i|iː)(p)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
171	1546-csipa	t͡ʃ i p ɒ	Harz	^(t͡ʃ)(i|a|y|ɛ|ɯ)(p)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ)?$
173	1553-csipo	t͡ʃ iː p øː	Hüfte	^(t͡ʃ)(i|iː)(p)(ɛ.ɣ|i.ɣ|yː)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
174	1563-csiszar	t͡ʃ i s aː r	Waffenschmied, Schwertfeger, Weintrinker, Viehhändler, dieb	^(t͡ʃ)(i|a|y|ɛ|ɯ)(s)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(r)(i|y)?$
175	1569-csiz	t͡ʃ iː z	Zeisig	^(t͡ʃ)(i|iː)(z)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
176	1578-csoda	t͡ʃ o d ɒ	Wunder, Ungetüm, Monstrum, lobenswerte, Tat, Tugend, Verwunderung, Verdruß, heftigen, Ausdrücken, Bedeutung, wunderbar, außerordentlich, häßlich, schmutzig, bewundern, halten, wundern, merkwürdig, halten	^(t͡ʃ)(u|o|a|ɒ)?(d|l.d|w.d|n.d)(a|a.ɣ|a.w|ɒ)?$
177	1579-csoka	t͡ʃ oː k ɒ	Dohle, Familie, Fliegenfänger, gehörende, Ring, Iris, Auge, Seminarist, scherzhaft, Krähe, od, Kind, scherzhaft, Gans, kleines, schwarzes, Mal, Schaf, Rabe, Iris, weiß, gefleckt, Pferd, Iris, habend, Pferd, Rindvieh, usw, große, Augen, unbestimmter, Farbe, habend, dunkel, Haare, Viehs	^(t͡ʃ)(a|u|uː|a.u|i|a.w|i.ɣ|a.w.u|aː)(k)(a|a.ɣ|a.w|ɒ)?(i|y)?$
178	1586-csombor	t͡ʃ o m.b o r	Art, Minze, Thymian	^(t͡ʃ)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(m.p)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(r)(i)?$
179	1587-csomo	t͡ʃ o m oː	Auswuchs, Bündel, Knoten, Seil, Strick, Menge, Haufen, Knäuel, Verwicklung, Paket, Knotenpunkt, Schar, Gruppe	^(t͡ʃ)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(m)(a.ɣ|u.ɣ|a.ɣ.u|i.ɣ|o.ɣ|uɣ|ɯ.ɣ|u.j|a.w|a|u)(i)?$
180	1589-csomoszol	t͡ʃ o m o s o l	drückend, zerquetschen, Weintrauben, Obst, stopfen, Stock, schlagen	^(t͡ʃ)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(m)(u|o|a)(s)(u|o)(l|j)?$
181	1590-csonak	t͡ʃ oː n ɒ k	Boot, Kahn, unterste, Blütenblatt, Schuh	^(t͡ʃ)(a|u|uː|a.u|i|a.w|i.ɣ|a.w.u|aː)(n)(a|ɒ|o|a.ɣ)?(k|ɡ)(i)?$
184	1600-csorog	t͡ʃ o r o ɡ	regnet, lecken, zB, Topf, abfallen, jmdn, etw, Geld, Fluß	^(t͡ʃ)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(r)(u|o|a|ɒ|o.ɣ.o|ɯ)?(ɡ|k)$
185	1608-csova	t͡ʃ oː v ɒ	Vogelscheuche, usw, Zeichen, Feuermachen	^(t͡ʃ)(a|u|uː|a.u|i|a.w|i.ɣ|a.w.u|aː)(v|w)(a|a.ɣ|a.w|ɒ)?(i)?$
186	1616-csok	t͡ʃ ø k	Penis, größerer, Tiere, haupts, Stieren, Ochsenziemer, Holzklotz	^(t͡ʃ)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(k|ɡ)(i|y|ɛ|u|i.ɣ|a.t|ɛk)?$
187	1617-csok	t͡ʃ ø k	nachlassen, abnehmen, verrenken, Wachstum, zurückbleiben, störrisch, Wachstum, zurückgeblieben	^(t͡ʃ)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(k|ɡ)(i|y|ɛ|u|i.ɣ|a.t|ɛk)?$
188	1620-csomor	t͡ʃ ø m ø r	Art, Übersättigung, Knoten, Haut, Widerwille, ekelhaft	^(t͡ʃ)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(m)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(r)(i|y)?$
189	1624-csorog	t͡ʃ ø r ø ɡ	rieseln, Bach, rasseln, klappern, schwätzen, zirpen, tanzen, Klingel, Bach	^(t͡ʃ)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(r|j.r)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(ɡ|k)$
190	1628-csosz	t͡ʃ øː s	Ausrufer, Wächter, türkischer, Bote, unbefugt, bewachen	^(t͡ʃ)(ɛ|ø|ɛ.w|ɛ.y|y|ɛ.ɣ.y|øː)(s|ʃ|z)(i|y|ɛ|u)?$
191	1639-csuka	t͡ʃ u k ɒ	Hecht, Schuh	^(t͡ʃ)(u|ɯ|u.w.a|u.ɣ)(k)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ|u)?$
192	1648-csuma	t͡ʃ u m ɒ	Knospe, Keim, Stengel, Butzen, Kolben, inneres, Maiskolben	^(t͡ʃ)(u|ɯ|u.w.a|u.ɣ)(m)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ|u)?$
193	1649-csunya	t͡ʃ uː ɲ ɒ	grob, roh, häßlich, schändlich, wild, toll, kräftig, hochgradig, Scham, Körperteil	^(t͡ʃ)(u|uː|u.ɣ|u.ɣ.u|i|o|o.ɣ|i.ɣ.u)(n|m)(a|a.ɣ|a.w|ɒ)?(i)?$
194	1670-csud	t͡ʃ y d	Sprungbein, Würfel, Handgelenk, Ring, Säule, Lauf, Teil	^(t͡ʃ)(y|i|ɛ)(n)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
195	1679-csutortok	t͡ʃ y t ø r.t ø k	Donnerstag	^(t͡ʃ)(y|i|ɛ)(t|l.t)(ɛ|y|ø|i|y.ɣ.y)(r.t|r.i.t)(ɛ|y)(k)$
196	1697-dal	d ɒ l	Lied, Vogelsang, Melodie, Art, lyrisches, Gedicht	^(d|d͡ʒʲ|t)(a|ɒ|o|a.ɣ)?(l|j)?(i|y)?$
198	1717-daroc	d ɒ r oː t͡s	Jäger	^(d|d͡ʒʲ|t)(a|ɒ)(r|j.r|w.r)(a|u|uː|a.u|i|a.w|i.ɣ|a.w.u|aː)(k)$
199	1800-dever	d eː v eː r	Brachsen	^(d|d͡ʒʲ|t)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(v|w)(ɛ|i)(r)$
201	1844-dio	d i.oː	Walnuß, Schlosserei, Waffentechnik, Adamsapfel, Nuß, Fleischstück	^(d|d͡ʒʲ|t)(i.ɣ.a.ɣ|i.u)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
202	1859-diszno	d i s.n oː	Schwein, As, ungarischen, Kartenspiel, stachelige, Frucht, Art, Kartenspiel, unflätig, groß, Schwein, schlachten	^(d|d͡ʒʲ|t)(i|a|y|ɛ)(s.n)(a.ɣ|u.ɣ|a.ɣ.u|i.ɣ|o.ɣ|uɣ|ɯ.ɣ|u.j|a.w|a|u)$
205	1872-doboz	d o b o z	Behälter, Schachtel, Lederbeutel, Behälter, Stroh, od, Binse, haupts, Eier, Schutzhülle	^(d|d͡ʒʲ|t)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(b)(u|o|a|ɒ)?(z)$
207	1888-domboru	d o m.b o r uː	gewölbt, konvex	^(d|d͡ʒʲ|t)(u|o|a)?(m.p)(u|o)(r)(a.ɣ|u.ɣ|u|a.ɣ.u|o.ɣ)$
208	1896-dong	d o n.ɡ	dröhnen, summen, jmdn, tun, wispern, murmeln, Hummel	^(d|d͡ʒʲ|t)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(ng|mː.ɛ.ɡ|n.ɡ)(i)?$
209	1916-dobor	d ø b ø r	Art	^(d|d͡ʒʲ|t)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(b)(ɛ|y|ø|i|y.ɣ.y)(r)$
210	1920-dog	d ø ɡ	Krankheit, Seuche, Leiche, Aas, lebendes, Tier, bes, Hund, Pferd, Mensch, Unmenge, Bestie, zugrunde, richten, zugrunde, gehen, Versuchung, bringen, zunichte, kaputtgehen, Schinder, Mediziner	^(d|d͡ʒʲ|t)(ɛ|y|ø|i|y.ɣ.y|ɛ.ɣ)?(ɡ|k)(i|y)?$
211	1930-dore	d øː r ɛ	albern, wahnsinnig	^(d|d͡ʒʲ|t)(ɛ|ø|ɛ.w|ɛ.y|y|ɛ.ɣ.y|øː)(r|j.r|w.r)(ɛ|ɛ.ɣ)$
213	1961-duda	d u d ɒ	Dudelsack, Schimpfwort, Pfeife, Horn, Trompete, Hupe	^(d|d͡ʒʲ|t)(u|ɯ|u.w.a|u.ɣ)(d|l.d|w.d|n.d)(a|a.ɣ)?$
215	2013-el	eː l	leben, nähren, erhalten, benützen, gebrauchen, jemandem, jemandem, zusammen, wohnen, irgendein, Leben, führen, irgendwelchem, Zustand, dauerndem, leben, Verhältnis, leben, aufhalten, wohnen, Lebensmittel, Lebendige, Leben, Unterhalt, Fortkommen, Getreide, és, Leben, nähren, beleben, a, hochleben, lassen, Amme, Lebens-, lebhaft, erstarken, genießbar, brauchbar, Hefe, fristen, él, schmarotzen, Lebensmittel, Erlebnis, lebenslang	^(ɛ)(l|j)?(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
217	2030-ed	ɛ d	Getreide	^(ɛ|i)(n)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
218	2034-edes	eː d ɛ ʃ	lieb, geliebt, ungesalzen, sauer, süß, angenehm, blutsverwandt, ganz, Süßigkeit, Liebling, bes, Anrede, leiblicher, Vater, leibliche, Mutter, bes, Anrede, seelische, Harmonie, Süßigkeit, ergötzen, ergötzen	^(ɛ)(d|l.d|w.d|n.d)(ɛ|i|y|ø|a)(t͡ʃ|ɣ|ʃ|l.t͡ʃ)(i)?$
219	2037-eg	eː ɡ	brennen, Brandwunden, erleiden, innerlich, entflammt, brennen, etw, Gefühl, Ehrgeiz, usw, brennen, lassen, Haut-, Sodbrennen, usw, empfinden, zugrunde, gehen, zuschanden, erfolglos, sehnen, reizen, plagen, Leidenschaft, Sehnsucht, Plage, Bedrängnis	^(ɛ)(ɡ|k)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
220	2042-eger	eː ɡ ɛ r	Erle	^(ɛ)(ɡ)(ɛ|i|y|ø|a)(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
222	2062-egyembelu	ɛ ɟ ɛ m.b ɛ l yː	zusammen, beisammen	^(ɛ|i)(l.d|d)(ɛ|i)(m.p)(ɛ)(l|r.l|l.k)(i.ɣ|y.ɣ|ɛ.ɣ|ɛ.ɣ.y|y)$
223	2067-egyes	ɛ ɟ ɛ ʃ	einträchtig, friedlich, einsam, einzig, identisch, ähnlich, einfach, einfältig, einheitlich, Eins, Zahl, Note, Eintracht, Einverständnis, Vereinigung, einheitlich, Verbindung, Vermählung, Einheit, Verein	^(ɛ|i)(l.d|d)(ɛ|i|y|ø|a)(t͡ʃ|ɣ|ʃ|l.t͡ʃ)(i)?$
226	2096-ek	eː k	Keil, Akzent, Zeichen, verkeilen, Akzent, versehen, Akzent, Zeichen	^(ɛ)(k|ɡ)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
227	2100-ekes	eː k ɛ ʃ	voller, Schmuck, schön, trefflich, passend, verziert	^(ɛ)(k)(ɛ|i|y|ø|a)(t͡ʃ|ɣ|ʃ|l.t͡ʃ)(i|y|ɛ|u)?$
228	2106-el	eː l	leben, nähren, erhalten, benützen, gebrauchen, jmdm, zusammenleben, jmdm, leben, Leben, führen, befinden, jmdm, leben, verweilen, wohnen, Lebensmittel, Nahrung, Lebendige, Leben, Lebensmittel, Unterhalt, Fortkommen, Getreide, Broterwerb, Leben, nähren, beleben, hochleben, lassen, Amme, Lebens-, lebhaft, erstarken, genießbar, brauchbar, Hefe, fristen, schmarotzen, Lebensmittel, Erlebnis, lebenslang	^(ɛ)(l|j)?(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
229	2107-el	eː l	Spitze, Kante, Bergspitze, Spitze, Stichwaffe, od, Werkzeuges, Schärfe, geordnetes, Heer, erste, Stelle, Spitze, kantig, scharf, spitz	^(ɛ)(l|j)?(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
230	2127-eleve	ɛ l ɛ v ɛ	vorne, attr, Funktion, erstens, erster, anfangs, zuerst, vorwärts, voraus, vornherein	^(ɛ|i)(l|r.l|l.k)(ɛ|i|y|ø|a)(v|w)(ɛ|ɛ.ɣ)$
231	2140-ellik	ɛ lː i k	Junge, werfen	^(ɛ|i)(l|lː|ɣ.l)(i|a|y|ɛ|ɯ)(k|ɡ)(i)?$
232	2141-ellik	ɛ lː i k	besteigen, Pferd, Wagen	^(ɛ|i)(l|lː|ɣ.l)(i|a|y|ɛ|ɯ)(k|ɡ)(i)?$
233	2145-elo	ɛ l øː	vorderer, erster, Anfang, Erstling, Beste, Vorfahren, erstens	^(ɛ|i)(l|r.l|l.k)(ɛ.ɣ|i.ɣ|yː)(i|y|ɛ|u|i.ɣ)?$
236	2173-eme	ɛ m ɛ	Sau, Weibchen	^(ɛ|i)(m)(ɛ|ɛ.ɣ)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
237	2181-emik	ɛ m i k	saugen, saugen, Gebiß, Zügel, weibliche, Brust, Säugling, säugen	^(ɛ|i)(m)(i|a|y|ɛ|ɯ)(k|ɡ)(i|y|ɛ|u)?$
238	2205-eper	ɛ p ɛ r	Erdbeere, Maulbeere, Maulbeerbaum	^(ɛ|i)(p)(ɛ|i|y|ø|a)(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a)?$
239	2217-er	eː r	Bach	^(ɛ)(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
240	2224-iserdo	i ʃ ɛ r.d øː	Wald, Wald, hüten	^(i|y|ɛ|w.i)(ʃ|t͡ʃ)(ɛ|i|y|ø|a)(r.d)(ɛ.ɣ|i.ɣ|yː)$
241	2234-erez	eː r ɛ z	fühlen, empfinden, sinnlich, wahrnehmen, bemerken, verstehen, ahnen, aufschrecken, Besinnung, kommen, Empfindungsfähigkeit, Gefühl, gefühllos, Empfindungsfähigkeit, Gefühl, Empfindungsfähigkeit, Empfindlichkeit, Gefühl, Sinn, Verständnis, fühlbar, empfindlich, fühlen, lassen	^(ɛ)(r|j.r|w.r)(ɛ|i|y|ø|a)(z)(i|y|ɛ|u|i.ɣ|a.t)?$
242	2245-ero	ɛ r øː	Kraft, Stärke, Heer, Streitmacht, Gewalt, Tugend, Tüchtigkeit, Geltung, Vermögen, Fort	^(ɛ|i)(r|j.r|w.r)(ɛ.ɣ|i.ɣ|yː)(i|y|ɛ|u|i.ɣ)?$
243	2259-esik	ɛ ʃ i k	fallen, stürzen, Zustand, kommen, geraten, geschehen, fallen, lassen, Knie, fallen, flehen, Tod, finden, fallen, regnet, schneit, hagelt, usw, jmdm, zuteil, irgendwie, schmecken, behagen, liegen, jmdn, stürzen, erbarmen, abnehmen, Menge, Maß, befallen, bedecken, Fall, Sonnenuntergang, Kasus, Fall, ungeschickt, vergänglich	^(ɛ|i)(ʃ|t͡ʃ)(i|a|y|ɛ|ɯ)(k|ɡ)(i|y)?$
244	2271-eszik	ɛ s i k	essen, aufzehren, jmdm, od, etw, zehren, zerfressen, beißen, brennen, Speisen, jmdm, essen, geben, füttern, vergiften, eingeben, Speise, enthaltend, Speisen, gebräuchlich, Speisen, Speise, Proviant, vergiften, ungenießbar, Speisesaal, Kantine, Hunger, Appetit	^(ɛ|i)(s)(i|a|y|ɛ|ɯ)(k|ɡ)(i|y|ɛ|u)?$
245	2304-evet	ɛ v ɛ t	Eichhörnchen	^(ɛ|i)(v|w)(ɛ|i|y|ø|a)(t)(i|y|ɛ|u)?$
299	2873-galad	ɡ ɒ l aː d	fahrender, Student, Gaukler, frevelhaft, frech, geizig	^(k|ɡ)(a|ɒ|o)(l|r.l|l.k)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(n)$
302	2898-gamo	ɡ ɒ m oː	Haken, Krücke, großer, Fuß, Pferd	^(k|ɡ)(a|ɒ|o|a.ɣ)?(m)(a.ɣ|u.ɣ|a.ɣ.u|i.ɣ|o.ɣ|uɣ|ɯ.ɣ|u.j|a.w|a|u)$
304	2928-gat	ɡ aː t	Staudamm, Hag, Hecke, Zaun, Umfriedung, Aufschüttung, Damm, schwer, Gelände, Furt, Graben, Hindernis, Deich, Stück, After, Geschlechtsteilen, Hürde, versch, Sportarten, Brücke, befestigte, Fahrbahn, dämmen, verhindern, Hindernis, Hemmung	^(k|ɡ)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(t)(i|y|ɛ|u|i.ɣ|a.t|ɛk)?$
305	2931-gaz	ɡ ɒ z	wald, Bodensatz, Mist, Schmutz, Spreu, Stroh, Heu, niederträchtig, böse, Schmutz	^(k|ɡ)(a|ɒ|o|a.ɣ)?(z)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a)?$
307	2946-geg	ɡ eː ɡ	Kehlkopf	^(k|ɡ)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(ɡ|k)(i|y)?$
308	2950-gem	ɡ eː m	Reiher, Stange, Pfahl, Zugbrücke, Schlagbaum, Hebezeug, Teil, Gewehrs	^(k|ɡ)(ɛ|i|eː|ø|y|a|e|ɛ.j|ɛ.w.ɛ|i.u|ɛ.v.i|iː)(m)(i|y|ɛ|u)?$
311	2998-gida	ɡ i d ɒ	Zicke, Ziege	^(k|ɡ)(i|a|y)(d|l.d|w.d|n.d)(a|a.ɣ|a.w|ɒ)?$
312	3006-gim	ɡ iː m	Hirschkuh	^(k|ɡ)(i|iː)(m)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
314	3042-gomba	ɡ o m.b ɒ	Pilz, kreisförmiges	^(k|ɡ)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(m.p)(a|a.ɣ|a.w|ɒ)?(i)?$
